Question,Answer1,Answer2,Answer3,Answer4,Correct
When would a local chapter be considered as being inactive?,After having no members for 3 years,After losing FBLA region,After losing FBLA state,After not paying dues for 1 year,4
What does USDE stand for?,U.S. Department of Education,U.S. Department of Enamel,U.S. Department of Emus,U.S. Department of Enumeration,1
If the vice-president and president are absent, who should call meetings to order?,The mentor,The secretary,The first person to raise their hand,The winner of the official arm-wrestle match,2
What are the official colours of FBLA?,Red white and blue,Red and gold,White and gold,Blue and gold,4
If every officer is present, who should call to order the meetings?,The mentor,The vice-president,The president,Whomever so desires,3
From which official source can chapters and members purchase FBLA materials?,Amazon,The Marketplace,The FBLA Store,eBay,2
How many letters are in "FBLA?"?,5,4,6,3,1
Which of the following is not one of the chapter activity categories?,Civic,Service,Social,Educational,4
Which of the following words are not atop the FBLA emblem?,Development,Service,Education,Progress,1
What is FBLA's National Membership Theme?,Check Yourself,Elevate Your Future,Do a Good Turn Daily,Elevare Domum Tuam,2
Who is FBLA's National Service Partner?,Kiwanis,Primary Children's,March of Dimes,Boy Scouts of America,3
What is the national website domain?,www.fbla.com,www.fbla.org,www.fbla-pbl.com,www.fbla-pbl.org,4
What does every stanza of the creed begin with?,We believe,I believe,I think,We think,2
How much do nation dues cost?,$6,$5,$4,$7,1
The majority of performance event times last how long?,7 minuets,7 minites,7 miunets,7 minutes,4
Who founded FBLA?,Hamden L. Forkner,Conrad N. Hilton,Dr. Edward Miller,Richard Bowen,1
In which year was the Professional Division created?,1990,1989,1988,1987,2
The Conference Room in the National Center was a gift from which state?,Utah,Florida,Arkansas,Ohio,3
When is National FBLA-PBL week?,1st Week in February,3rd Week in February,4th Week in January,2nd Week in February,4
Which of the following is another name for a written plan of action?,Program of Work,Written Action,Action Plan,Motivated Agenda,1
What colour of candle represents the office of President?,Blue,Red,White,Gold,2
What colour of candle represents the office of Vice President?,Blue,White,Orange,Gold,3
What colour of candle represents the office of Secretary?,Blue,Red,White,Yellow,4
What colour of candle represents the office of Treasurer?,Blue,Red,White,Gold,1
What colour of candle represents the office of Reporter?,Blue,Violet,White,Gold,2
What colour of candle represents the office of Historian?,Blue,Red,Green,Gold,2
What colour of candle represents the office of Parliamentarian?,Blue,Red,Grey,Gold,3
What colour of candle represents the office of Chapter?,Blue,Red,Gold,White,4
Who is the current National FBLA President?,Eu Ro Wang,Keerti Soundappan,Galadriel Coury,Michael Zhao,1
Who is the current National FBLA Secretary?,Eu Ro Wang,Keerti Soundappan,Galadriel Coury,Michael Zhao,2
Who is the current National FBLA Treasurer?,Eu Ro Wang,Keerti Soundappan,Galadriel Coury,Michael Zhao,3
Who is the current National FBLA Parliamentarian?,Eu Ro Wang,Keerti Soundappan,Galadriel Coury,Michael Zhao,4
How long of a speech is given in the Public Speaking I event?,4 minutes,5 minutes,7 minutes,6 minutes,1
How long of a speech is given in the Public Speaking II event?,4 minutes,5 minutes,7 minutes,6 minutes,2
Which of the following is not a type of competitive event?,Team,Individual,Group,Chapter,3
How many members can be on a team for a regular team event?,1-2,2-3,1-4,1-3,4
How many members can be on a team for a Parliamentary Procedure team?,4-5,2-5,3-5,1-5,1
What does CSA stand for?,Central Smarts Agency,Centennial Service Award,Community Service Awards,Community Service Award,3
How many award categories are there in the CSA?,4,3,2,1,2
To what does the PBL in FBLA-PBL refer?,A serial number,Random letters,Public Business Leaders,The college division of FBLA,4
What is the first goal of FBLA?,To develop competent and aggressive leadership,To earn money,To win competitions,To develop business skills,1
What is the first stanza of the FBLA creed?,I believe that education is the right of every person,We believe that education is the right to every person,We believe that every person has the right to earn a living at a useful occupation,I believe that every person has the right to earn a living at a useful occupation,1
Which of the following is not a way in which FBLA is funded?,Dues,Grants,Conference Fees,Contraband,4
When was the first FBLA chapter founded?,1943,1942,1941,1944,2
What day is American Enterprise Day?,November 16,November 17,November 15,November 18,3
What year was FBLA created in?,1937,1936,1935,1934,1
What does IFL stand for?,International Forensics League,I Forgot Lunch, Institute for Leaders,Intraregional Forest Lovers,3
What is FBLA?,Free Bacon Lettuce and Avocado,Ferret Bank Lovers Anonymous,The same thing as DECA,Future Business Leaders of America,4
What is DECA?,Distribution of Educational Causes in America,Decadent Emus Calling for Action,Distributive Education Clubs of America,The same thing as FBLA,3
Who leads a meeting in the event that the president of a chapter is absent?,The vice-president,Whoever gets to the front of the room first,The most popular kid,The mentor,1
What is the short intermission in a business meeting called?,Break,Recess,Pause,Rain Check,2
What is the parliamentary procedure term that means to officially close the meeting?,Terminate,Close,Adjourn,Rest,3
When would a local chapter be considered as being inactive?,After having no members for 3 years,After losing FBLA region,After losing FBLA state,After not paying dues for 1 year,4
What does USDE stand for?,U.S. Department of Education,U.S. Department of Enamel,U.S. Department of Emus,U.S. Department of Enumeration,1
If the vice-president and president are absent, who should call meetings to order?,The mentor,The secretary,The first person to raise their hand,The winner of the official arm-wrestle match,2
What are the official colours of FBLA?,Red white and blue,Red and gold,White and gold,Blue and gold,4
If every officer is present, who should call to order the meetings?,The mentor,The vice-president,The president,Whomever so desires,3
From which official source can chapters and members purchase FBLA materials?,Amazon,The Marketplace,The FBLA Store,eBay,2
How many letters are in "FBLA?"?,5,4,6,3,1
Which of the following is not one of the chapter activity categories?,Civic,Service,Social,Educational,4
Which of the following words are not atop the FBLA emblem?,Development,Service,Education,Progress,1
What is FBLA's National Membership Theme?,Check Yourself,Elevate Your Future,Do a Good Turn Daily,Elevare Domum Tuam,2
Who is FBLA's National Service Partner?,Kiwanis,Primary Children's,March of Dimes,Boy Scouts of America,3
What is the national website domain?,www.fbla.com,www.fbla.org,www.fbla-pbl.com,www.fbla-pbl.org,4
What does every stanza of the creed begin with?,We believe,I believe,I think,We think,2
How much do nation dues cost?,$6,$5,$4,$7,1
The majority of performance event times last how long?,7 minuets,7 minites,7 miunets,7 minutes,4
Who founded FBLA?,Hamden L. Forkner,Conrad N. Hilton,Dr. Edward Miller,Richard Bowen,1
In which year was the Professional Division created?,1990,1989,1988,1987,2
The Conference Room in the National Center was a gift from which state?,Utah,Florida,Arkansas,Ohio,3
When is National FBLA-PBL week?,1st Week in February,3rd Week in February,4th Week in January,2nd Week in February,4
Which of the following is another name for a written plan of action?,Program of Work,Written Action,Action Plan,Motivated Agenda,1
What colour of candle represents the office of President?,Blue,Red,White,Gold,2
What colour of candle represents the office of Vice President?,Blue,White,Orange,Gold,3
What colour of candle represents the office of Secretary?,Blue,Red,White,Yellow,4
What colour of candle represents the office of Treasurer?,Blue,Red,White,Gold,1
What colour of candle represents the office of Reporter?,Blue,Violet,White,Gold,2
What colour of candle represents the office of Historian?,Blue,Red,Green,Gold,2
What colour of candle represents the office of Parliamentarian?,Blue,Red,Grey,Gold,3
What colour of candle represents the office of Chapter?,Blue,Red,Gold,White,4
Who is the current National FBLA President?,Eu Ro Wang,Keerti Soundappan,Galadriel Coury,Michael Zhao,1
Who is the current National FBLA Secretary?,Eu Ro Wang,Keerti Soundappan,Galadriel Coury,Michael Zhao,2
Who is the current National FBLA Treasurer?,Eu Ro Wang,Keerti Soundappan,Galadriel Coury,Michael Zhao,3
Who is the current National FBLA Parliamentarian?,Eu Ro Wang,Keerti Soundappan,Galadriel Coury,Michael Zhao,4
How long of a speech is given in the Public Speaking I event?,4 minutes,5 minutes,7 minutes,6 minutes,1
How long of a speech is given in the Public Speaking II event?,4 minutes,5 minutes,7 minutes,6 minutes,2
Which of the following is not a type of competitive event?,Team,Individual,Group,Chapter,3
How many members can be on a team for a regular team event?,1-2,2-3,1-4,1-3,4
How many members can be on a team for a Parliamentary Procedure team?,4-5,2-5,3-5,1-5,1
What does CSA stand for?,Central Smarts Agency,Centennial Service Award,Community Service Awards,Community Service Award,3
How many award categories are there in the CSA?,4,3,2,1,2
To what does the PBL in FBLA-PBL refer?,A serial number,Random letters,Public Business Leaders,The college division of FBLA,4
What is the first goal of FBLA?,To develop competent and aggressive leadership,To earn money,To win competitions,To develop business skills,1
What is the first stanza of the FBLA creed?,I believe that education is the right of every person,We believe that education is the right to every person,We believe that every person has the right to earn a living at a useful occupation,I believe that every person has the right to earn a living at a useful occupation,1
Which of the following is not a way in which FBLA is funded?,Dues,Grants,Conference Fees,Contraband,4
When was the first FBLA chapter founded?,1943,1942,1941,1944,2
What day is American Enterprise Day?,November 16,November 17,November 15,November 18,3
What year was FBLA created in?,1937,1936,1935,1934,1
What does IFL stand for?,International Forensics League,I Forgot Lunch, Institute for Leaders,Intraregional Forest Lovers,3
What is FBLA?,Free Bacon Lettuce and Avocado,Ferret Bank Lovers Anonymous,The same thing as DECA,Future Business Leaders of America,4
What is DECA?,Distribution of Educational Causes in America,Decadent Emus Calling for Action,Distributive Education Clubs of America,The same thing as FBLA,3
Who leads a meeting in the event that the president of a chapter is absent?,The vice-president,Whoever gets to the front of the room first,The most popular kid,The mentor,1
What is the short intermission in a business meeting called?,Break,Recess,Pause,Rain Check,2
What is the parliamentary procedure term that means to officially close the meeting?,Terminate,Close,Adjourn,Rest,3
When would a local chapter be considered as being inactive?,After having no members for 3 years,After losing FBLA region,After losing FBLA state,After not paying dues for 1 year,4
What does USDE stand for?,U.S. Department of Education,U.S. Department of Enamel,U.S. Department of Emus,U.S. Department of Enumeration,1
If the vice-president and president are absent, who should call meetings to order?,The mentor,The secretary,The first person to raise their hand,The winner of the official arm-wrestle match,2
What are the official colours of FBLA?,Red white and blue,Red and gold,White and gold,Blue and gold,4
If every officer is present, who should call to order the meetings?,The mentor,The vice-president,The president,Whomever so desires,3
From which official source can chapters and members purchase FBLA materials?,Amazon,The Marketplace,The FBLA Store,eBay,2
How many letters are in "FBLA?"?,5,4,6,3,1
Which of the following is not one of the chapter activity categories?,Civic,Service,Social,Educational,4
Which of the following words are not atop the FBLA emblem?,Development,Service,Education,Progress,1
What is FBLA's National Membership Theme?,Check Yourself,Elevate Your Future,Do a Good Turn Daily,Elevare Domum Tuam,2
Who is FBLA's National Service Partner?,Kiwanis,Primary Children's,March of Dimes,Boy Scouts of America,3
What is the national website domain?,www.fbla.com,www.fbla.org,www.fbla-pbl.com,www.fbla-pbl.org,4
What does every stanza of the creed begin with?,We believe,I believe,I think,We think,2
How much do nation dues cost?,$6,$5,$4,$7,1
The majority of performance event times last how long?,7 minuets,7 minites,7 miunets,7 minutes,4
Who founded FBLA?,Hamden L. Forkner,Conrad N. Hilton,Dr. Edward Miller,Richard Bowen,1
In which year was the Professional Division created?,1990,1989,1988,1987,2
The Conference Room in the National Center was a gift from which state?,Utah,Florida,Arkansas,Ohio,3
When is National FBLA-PBL week?,1st Week in February,3rd Week in February,4th Week in January,2nd Week in February,4
Which of the following is another name for a written plan of action?,Program of Work,Written Action,Action Plan,Motivated Agenda,1
What colour of candle represents the office of President?,Blue,Red,White,Gold,2
What colour of candle represents the office of Vice President?,Blue,White,Orange,Gold,3
What colour of candle represents the office of Secretary?,Blue,Red,White,Yellow,4
What colour of candle represents the office of Treasurer?,Blue,Red,White,Gold,1
What colour of candle represents the office of Reporter?,Blue,Violet,White,Gold,2
What colour of candle represents the office of Historian?,Blue,Red,Green,Gold,2
What colour of candle represents the office of Parliamentarian?,Blue,Red,Grey,Gold,3
What colour of candle represents the office of Chapter?,Blue,Red,Gold,White,4
Who is the current National FBLA President?,Eu Ro Wang,Keerti Soundappan,Galadriel Coury,Michael Zhao,1
Who is the current National FBLA Secretary?,Eu Ro Wang,Keerti Soundappan,Galadriel Coury,Michael Zhao,2
Who is the current National FBLA Treasurer?,Eu Ro Wang,Keerti Soundappan,Galadriel Coury,Michael Zhao,3
Who is the current National FBLA Parliamentarian?,Eu Ro Wang,Keerti Soundappan,Galadriel Coury,Michael Zhao,4
How long of a speech is given in the Public Speaking I event?,4 minutes,5 minutes,7 minutes,6 minutes,1
How long of a speech is given in the Public Speaking II event?,4 minutes,5 minutes,7 minutes,6 minutes,2
Which of the following is not a type of competitive event?,Team,Individual,Group,Chapter,3
How many members can be on a team for a regular team event?,1-2,2-3,1-4,1-3,4
How many members can be on a team for a Parliamentary Procedure team?,4-5,2-5,3-5,1-5,1
What does CSA stand for?,Central Smarts Agency,Centennial Service Award,Community Service Awards,Community Service Award,3
How many award categories are there in the CSA?,4,3,2,1,2
To what does the PBL in FBLA-PBL refer?,A serial number,Random letters,Public Business Leaders,The college division of FBLA,4
What is the first goal of FBLA?,To develop competent and aggressive leadership,To earn money,To win competitions,To develop business skills,1
What is the first stanza of the FBLA creed?,I believe that education is the right of every person,We believe that education is the right to every person,We believe that every person has the right to earn a living at a useful occupation,I believe that every person has the right to earn a living at a useful occupation,1
Which of the following is not a way in which FBLA is funded?,Dues,Grants,Conference Fees,Contraband,4
When was the first FBLA chapter founded?,1943,1942,1941,1944,2
What day is American Enterprise Day?,November 16,November 17,November 15,November 18,3
What year was FBLA created in?,1937,1936,1935,1934,1
What does IFL stand for?,International Forensics League,I Forgot Lunch, Institute for Leaders,Intraregional Forest Lovers,3
What is FBLA?,Free Bacon Lettuce and Avocado,Ferret Bank Lovers Anonymous,The same thing as DECA,Future Business Leaders of America,4
What is DECA?,Distribution of Educational Causes in America,Decadent Emus Calling for Action,Distributive Education Clubs of America,The same thing as FBLA,3
Who leads a meeting in the event that the president of a chapter is absent?,The vice-president,Whoever gets to the front of the room first,The most popular kid,The mentor,1
What is the short intermission in a business meeting called?,Break,Recess,Pause,Rain Check,2
What is the parliamentary procedure term that means to officially close the meeting?,Terminate,Close,Adjourn,Rest,3
When would a local chapter be considered as being inactive?,After having no members for 3 years,After losing FBLA region,After losing FBLA state,After not paying dues for 1 year,4
What does USDE stand for?,U.S. Department of Education,U.S. Department of Enamel,U.S. Department of Emus,U.S. Department of Enumeration,1
If the vice-president and president are absent, who should call meetings to order?,The mentor,The secretary,The first person to raise their hand,The winner of the official arm-wrestle match,2
What are the official colours of FBLA?,Red white and blue,Red and gold,White and gold,Blue and gold,4
If every officer is present, who should call to order the meetings?,The mentor,The vice-president,The president,Whomever so desires,3
From which official source can chapters and members purchase FBLA materials?,Amazon,The Marketplace,The FBLA Store,eBay,2
How many letters are in "FBLA?"?,5,4,6,3,1
Which of the following is not one of the chapter activity categories?,Civic,Service,Social,Educational,4
Which of the following words are not atop the FBLA emblem?,Development,Service,Education,Progress,1
What is FBLA's National Membership Theme?,Check Yourself,Elevate Your Future,Do a Good Turn Daily,Elevare Domum Tuam,2
Who is FBLA's National Service Partner?,Kiwanis,Primary Children's,March of Dimes,Boy Scouts of America,3
What is the national website domain?,www.fbla.com,www.fbla.org,www.fbla-pbl.com,www.fbla-pbl.org,4
What does every stanza of the creed begin with?,We believe,I believe,I think,We think,2
How much do nation dues cost?,$6,$5,$4,$7,1
The majority of performance event times last how long?,7 minuets,7 minites,7 miunets,7 minutes,4
Who founded FBLA?,Hamden L. Forkner,Conrad N. Hilton,Dr. Edward Miller,Richard Bowen,1
In which year was the Professional Division created?,1990,1989,1988,1987,2
The Conference Room in the National Center was a gift from which state?,Utah,Florida,Arkansas,Ohio,3
When is National FBLA-PBL week?,1st Week in February,3rd Week in February,4th Week in January,2nd Week in February,4
Which of the following is another name for a written plan of action?,Program of Work,Written Action,Action Plan,Motivated Agenda,1
What colour of candle represents the office of President?,Blue,Red,White,Gold,2
What colour of candle represents the office of Vice President?,Blue,White,Orange,Gold,3
What colour of candle represents the office of Secretary?,Blue,Red,White,Yellow,4
What colour of candle represents the office of Treasurer?,Blue,Red,White,Gold,1
What colour of candle represents the office of Reporter?,Blue,Violet,White,Gold,2
What colour of candle represents the office of Historian?,Blue,Red,Green,Gold,2
What colour of candle represents the office of Parliamentarian?,Blue,Red,Grey,Gold,3
What colour of candle represents the office of Chapter?,Blue,Red,Gold,White,4
Who is the current National FBLA President?,Eu Ro Wang,Keerti Soundappan,Galadriel Coury,Michael Zhao,1
Who is the current National FBLA Secretary?,Eu Ro Wang,Keerti Soundappan,Galadriel Coury,Michael Zhao,2
Who is the current National FBLA Treasurer?,Eu Ro Wang,Keerti Soundappan,Galadriel Coury,Michael Zhao,3
Who is the current National FBLA Parliamentarian?,Eu Ro Wang,Keerti Soundappan,Galadriel Coury,Michael Zhao,4
How long of a speech is given in the Public Speaking I event?,4 minutes,5 minutes,7 minutes,6 minutes,1
How long of a speech is given in the Public Speaking II event?,4 minutes,5 minutes,7 minutes,6 minutes,2
Which of the following is not a type of competitive event?,Team,Individual,Group,Chapter,3
How many members can be on a team for a regular team event?,1-2,2-3,1-4,1-3,4
How many members can be on a team for a Parliamentary Procedure team?,4-5,2-5,3-5,1-5,1
What does CSA stand for?,Central Smarts Agency,Centennial Service Award,Community Service Awards,Community Service Award,3
How many award categories are there in the CSA?,4,3,2,1,2
To what does the PBL in FBLA-PBL refer?,A serial number,Random letters,Public Business Leaders,The college division of FBLA,4
What is the first goal of FBLA?,To develop competent and aggressive leadership,To earn money,To win competitions,To develop business skills,1
What is the first stanza of the FBLA creed?,I believe that education is the right of every person,We believe that education is the right to every person,We believe that every person has the right to earn a living at a useful occupation,I believe that every person has the right to earn a living at a useful occupation,1
Which of the following is not a way in which FBLA is funded?,Dues,Grants,Conference Fees,Contraband,4
When was the first FBLA chapter founded?,1943,1942,1941,1944,2
What day is American Enterprise Day?,November 16,November 17,November 15,November 18,3
What year was FBLA created in?,1937,1936,1935,1934,1
What does IFL stand for?,International Forensics League,I Forgot Lunch, Institute for Leaders,Intraregional Forest Lovers,3
What is FBLA?,Free Bacon Lettuce and Avocado,Ferret Bank Lovers Anonymous,The same thing as DECA,Future Business Leaders of America,4
What is DECA?,Distribution of Educational Causes in America,Decadent Emus Calling for Action,Distributive Education Clubs of America,The same thing as FBLA,3
Who leads a meeting in the event that the president of a chapter is absent?,The vice-president,Whoever gets to the front of the room first,The most popular kid,The mentor,1
What is the short intermission in a business meeting called?,Break,Recess,Pause,Rain Check,2
What is the parliamentary procedure term that means to officially close the meeting?,Terminate,Close,Adjourn,Rest,3
When would a local chapter be considered as being inactive?,After having no members for 3 years,After losing FBLA region,After losing FBLA state,After not paying dues for 1 year,4
What does USDE stand for?,U.S. Department of Education,U.S. Department of Enamel,U.S. Department of Emus,U.S. Department of Enumeration,1
If the vice-president and president are absent, who should call meetings to order?,The mentor,The secretary,The first person to raise their hand,The winner of the official arm-wrestle match,2
What are the official colours of FBLA?,Red white and blue,Red and gold,White and gold,Blue and gold,4
If every officer is present, who should call to order the meetings?,The mentor,The vice-president,The president,Whomever so desires,3
From which official source can chapters and members purchase FBLA materials?,Amazon,The Marketplace,The FBLA Store,eBay,2
How many letters are in "FBLA?"?,5,4,6,3,1
Which of the following is not one of the chapter activity categories?,Civic,Service,Social,Educational,4
Which of the following words are not atop the FBLA emblem?,Development,Service,Education,Progress,1
What is FBLA's National Membership Theme?,Check Yourself,Elevate Your Future,Do a Good Turn Daily,Elevare Domum Tuam,2
Who is FBLA's National Service Partner?,Kiwanis,Primary Children's,March of Dimes,Boy Scouts of America,3
What is the national website domain?,www.fbla.com,www.fbla.org,www.fbla-pbl.com,www.fbla-pbl.org,4
What does every stanza of the creed begin with?,We believe,I believe,I think,We think,2
How much do nation dues cost?,$6,$5,$4,$7,1
The majority of performance event times last how long?,7 minuets,7 minites,7 miunets,7 minutes,4
Who founded FBLA?,Hamden L. Forkner,Conrad N. Hilton,Dr. Edward Miller,Richard Bowen,1
In which year was the Professional Division created?,1990,1989,1988,1987,2
The Conference Room in the National Center was a gift from which state?,Utah,Florida,Arkansas,Ohio,3
When is National FBLA-PBL week?,1st Week in February,3rd Week in February,4th Week in January,2nd Week in February,4
Which of the following is another name for a written plan of action?,Program of Work,Written Action,Action Plan,Motivated Agenda,1
What colour of candle represents the office of President?,Blue,Red,White,Gold,2
What colour of candle represents the office of Vice President?,Blue,White,Orange,Gold,3
What colour of candle represents the office of Secretary?,Blue,Red,White,Yellow,4
What colour of candle represents the office of Treasurer?,Blue,Red,White,Gold,1
What colour of candle represents the office of Reporter?,Blue,Violet,White,Gold,2
What colour of candle represents the office of Historian?,Blue,Red,Green,Gold,2
What colour of candle represents the office of Parliamentarian?,Blue,Red,Grey,Gold,3
What colour of candle represents the office of Chapter?,Blue,Red,Gold,White,4
Who is the current National FBLA President?,Eu Ro Wang,Keerti Soundappan,Galadriel Coury,Michael Zhao,1
Who is the current National FBLA Secretary?,Eu Ro Wang,Keerti Soundappan,Galadriel Coury,Michael Zhao,2
Who is the current National FBLA Treasurer?,Eu Ro Wang,Keerti Soundappan,Galadriel Coury,Michael Zhao,3
Who is the current National FBLA Parliamentarian?,Eu Ro Wang,Keerti Soundappan,Galadriel Coury,Michael Zhao,4
How long of a speech is given in the Public Speaking I event?,4 minutes,5 minutes,7 minutes,6 minutes,1
How long of a speech is given in the Public Speaking II event?,4 minutes,5 minutes,7 minutes,6 minutes,2
Which of the following is not a type of competitive event?,Team,Individual,Group,Chapter,3
How many members can be on a team for a regular team event?,1-2,2-3,1-4,1-3,4
How many members can be on a team for a Parliamentary Procedure team?,4-5,2-5,3-5,1-5,1
What does CSA stand for?,Central Smarts Agency,Centennial Service Award,Community Service Awards,Community Service Award,3
How many award categories are there in the CSA?,4,3,2,1,2
To what does the PBL in FBLA-PBL refer?,A serial number,Random letters,Public Business Leaders,The college division of FBLA,4
What is the first goal of FBLA?,To develop competent and aggressive leadership,To earn money,To win competitions,To develop business skills,1
What is the first stanza of the FBLA creed?,I believe that education is the right of every person,We believe that education is the right to every person,We believe that every person has the right to earn a living at a useful occupation,I believe that every person has the right to earn a living at a useful occupation,1
Which of the following is not a way in which FBLA is funded?,Dues,Grants,Conference Fees,Contraband,4
When was the first FBLA chapter founded?,1943,1942,1941,1944,2
What day is American Enterprise Day?,November 16,November 17,November 15,November 18,3
What year was FBLA created in?,1937,1936,1935,1934,1
What does IFL stand for?,International Forensics League,I Forgot Lunch, Institute for Leaders,Intraregional Forest Lovers,3
What is FBLA?,Free Bacon Lettuce and Avocado,Ferret Bank Lovers Anonymous,The same thing as DECA,Future Business Leaders of America,4
What is DECA?,Distribution of Educational Causes in America,Decadent Emus Calling for Action,Distributive Education Clubs of America,The same thing as FBLA,3
Who leads a meeting in the event that the president of a chapter is absent?,The vice-president,Whoever gets to the front of the room first,The most popular kid,The mentor,1
What is the short intermission in a business meeting called?,Break,Recess,Pause,Rain Check,2
What is the parliamentary procedure term that means to officially close the meeting?,Terminate,Close,Adjourn,Rest,3
When would a local chapter be considered as being inactive?,After having no members for 3 years,After losing FBLA region,After losing FBLA state,After not paying dues for 1 year,4
What does USDE stand for?,U.S. Department of Education,U.S. Department of Enamel,U.S. Department of Emus,U.S. Department of Enumeration,1
If the vice-president and president are absent, who should call meetings to order?,The mentor,The secretary,The first person to raise their hand,The winner of the official arm-wrestle match,2
What are the official colours of FBLA?,Red white and blue,Red and gold,White and gold,Blue and gold,4
If every officer is present, who should call to order the meetings?,The mentor,The vice-president,The president,Whomever so desires,3
From which official source can chapters and members purchase FBLA materials?,Amazon,The Marketplace,The FBLA Store,eBay,2
How many letters are in "FBLA?"?,5,4,6,3,1
Which of the following is not one of the chapter activity categories?,Civic,Service,Social,Educational,4
Which of the following words are not atop the FBLA emblem?,Development,Service,Education,Progress,1
What is FBLA's National Membership Theme?,Check Yourself,Elevate Your Future,Do a Good Turn Daily,Elevare Domum Tuam,2
Who is FBLA's National Service Partner?,Kiwanis,Primary Children's,March of Dimes,Boy Scouts of America,3
What is the national website domain?,www.fbla.com,www.fbla.org,www.fbla-pbl.com,www.fbla-pbl.org,4
What does every stanza of the creed begin with?,We believe,I believe,I think,We think,2
How much do nation dues cost?,$6,$5,$4,$7,1
The majority of performance event times last how long?,7 minuets,7 minites,7 miunets,7 minutes,4
Who founded FBLA?,Hamden L. Forkner,Conrad N. Hilton,Dr. Edward Miller,Richard Bowen,1
In which year was the Professional Division created?,1990,1989,1988,1987,2
The Conference Room in the National Center was a gift from which state?,Utah,Florida,Arkansas,Ohio,3
When is National FBLA-PBL week?,1st Week in February,3rd Week in February,4th Week in January,2nd Week in February,4
Which of the following is another name for a written plan of action?,Program of Work,Written Action,Action Plan,Motivated Agenda,1
What colour of candle represents the office of President?,Blue,Red,White,Gold,2
What colour of candle represents the office of Vice President?,Blue,White,Orange,Gold,3
What colour of candle represents the office of Secretary?,Blue,Red,White,Yellow,4
What colour of candle represents the office of Treasurer?,Blue,Red,White,Gold,1
What colour of candle represents the office of Reporter?,Blue,Violet,White,Gold,2
What colour of candle represents the office of Historian?,Blue,Red,Green,Gold,2
What colour of candle represents the office of Parliamentarian?,Blue,Red,Grey,Gold,3
What colour of candle represents the office of Chapter?,Blue,Red,Gold,White,4
